zip_code,year,quarter,sector,place_name,latitude,longitude,opportunity_score,consumption_kwh,price_cents_per_kwh,total_cost_usd,estimated_annual_cost_usd,consumption_intensity,solar_ghi_kwh_m2_day,solar_dni_kwh_m2_day,solar_tilt_kwh_m2_day,installations_count,installed_capacity_kw,avg_installation_size_kw,cumulative_installations,cumulative_capacity_kw,adoption_rate,installation_growth_qoq,co2_emissions_factor,potential_co2_reduction_tons
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1096618.0,33.59000015258789,368354.0,1473416.0,1.0966180562973022,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1028175.0,33.59000015258789,345363.96875,1381455.9,1.0281749963760376,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1071572.0,33.59000015258789,359941.03125,1439764.1,1.071571946144104,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1096618.0,33.290000915527344,365064.125,1460256.5,1.0966180562973022,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1028175.0,33.290000915527344,342279.46875,1369117.9,1.0281749963760376,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1071572.0,33.290000915527344,356726.3125,1426905.2,1.071571946144104,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1096618.0,33.81999969482422,370876.21875,1483504.9,1.0966180562973022,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1028175.0,33.81999969482422,347728.78125,1390915.1,1.0281749963760376,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,2,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1071572.0,33.81999969482422,362405.65625,1449622.6,1.071571946144104,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,30.360000610351562,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,30.360000610351562,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,29.459999084472656,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,29.459999084472656,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,30.079999923706055,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,30.079999923706055,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,30.360000610351562,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,29.459999084472656,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,c,capistrano beach,33.46,-117.6632,0.9771084600898895,0.0,30.079999923706055,0.0,0.0,0.0,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1432126.0,32.040000915527344,458853.15625,1835412.6,1.4321260452270508,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1411358.0,32.040000915527344,452199.09375,1808796.4,1.4113579988479614,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
92624,2025,3,r,capistrano beach,33.46,-117.6632,0.9771084600898895,1432126.0,31.649999618530273,453267.875,1813071.5,1.4321260452270508,4.98,4.76,5.66,0,0.0,,0,0.0,0.0,,,
