zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91910,r,2026,1,52810.51,54667.12,509160.31,136559.11
91910,r,2026,2,46655.74,45625.64,445298.44,125317.48
91910,r,2026,3,69747.95,66868.1,602113.54,203571.46
91910,r,2026,4,65444.7,62659.66,616002.6,181159.46
91910,r,2027,1,54709.45,55348.98,455197.04,145503.08
91910,r,2027,2,45662.26,44261.4,417724.92,153201.53
91910,r,2027,3,66921.46,62475.9,678571.52,187346.43
91910,r,2027,4,62712.97,63549.31,603864.87,185010.07
91910,r,2028,1,55391.84,49482.83,485010.26,138624.13
91910,r,2028,2,44296.93,41520.67,510671.76,141465.17
91910,r,2028,3,62525.75,70409.25,624488.1,179698.94
91910,r,2028,4,63603.38,62297.13,616700.23,202756.09
91911,c,2026,1,180631.61,165209.23,1191296.6,346624.86
91911,c,2026,2,170094.95,176596.96,1385868.5,400260.08
91911,c,2026,3,205323.46,211603.01,1707750.81,536713.29
91911,c,2026,4,183233.55,190453.78,1521309.94,464977.81
91911,c,2027,1,165360.53,171256.72,1155416.21,332051.66
91911,c,2027,2,176763.24,190451.88,1334200.28,373087.41
91911,c,2027,3,211831.03,192157.99,1789044.3,596896.39
91911,c,2027,4,190636.71,203086.26,1549926.05,495494.76
91911,c,2028,1,171413.55,166098.68,1106838.85,375745.08
91911,c,2028,2,190631.21,183351.42,1243624.7,378760.12
91911,c,2028,3,192365.05,201305.22,1989654.64,541509.79
91911,c,2028,4,203281.33,206906.35,1651649.19,477256.7
91911,r,2026,1,49945.02,47593.15,468041.48,144496.28
91911,r,2026,2,41541.09,39435.59,374916.68,122513.97
91911,r,2026,3,50046.36,62113.91,583447.01,160244.92
91911,r,2026,4,63442.4,60067.31,623019.09,186647.89
91911,r,2027,1,47627.7,50705.45,481654.27,136772.45
91911,r,2027,2,39466.86,37281.09,408379.9,129105.31
91911,r,2027,3,62163.45,60562.36,534149.73,169650.09
91911,r,2027,4,60117.91,64246.92,622159.63,172904.53
91911,r,2028,1,50742.26,52180.2,455908.15,137391.94
91911,r,2028,2,37310.66,40608.62,430351.05,117207.65
91911,r,2028,3,60610.66,55445.25,565500.29,160593.86
91911,r,2028,4,64301.04,64158.29,576348.44,184442.22
91912,c,2026,1,0,0,0,0
91912,c,2026,2,0,0,0,0
91912,c,2026,3,0,0,0,0
91912,c,2026,4,0,0,0,0
91912,c,2027,1,0,0,0,0
91912,c,2027,2,0,0,0,0
91912,c,2027,3,0,0,0,0
91912,c,2027,4,0,0,0,0
91912,c,2028,1,0,0,0,0
91912,c,2028,2,0,0,0,0
91912,c,2028,3,0,0,0,0
91912,c,2028,4,0,0,0,0
91912,r,2026,1,0,0,0,0
91912,r,2026,2,0,0,0,0
91912,r,2026,3,0,0,0,0
91912,r,2026,4,0,0,0,0
91912,r,2027,1,0,0,0,0
91912,r,2027,2,0,0,0,0
91912,r,2027,3,0,0,0,0
91912,r,2027,4,0,0,0,0
91912,r,2028,1,0,0,0,0
91912,r,2028,2,0,0,0,0
91912,r,2028,3,0,0,0,0
91912,r,2028,4,0,0,0,0
91913,c,2026,1,0,0,0,0
