TIME,LATITUDE,LONGITUDE,ALTITUDE,TEMPERATURE,RELATIVE_HUMIDITY,Outdoor Temperature (°F),Feels Like (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-06-03 00:39:03,32.87,-117.25,-1.3,18.14,80.15,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:24,32.87,-117.25,67.4,18.11,80.19,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:27,32.87,-117.25,67.03,18.09,80.11,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:29,32.87,-117.25,67.0,18.1,80.1,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:33,32.87,-117.25,67.93,17.98,80.06,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:36,32.87,-117.25,67.8,17.83,80.16,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:39,32.87,-117.25,68.1,17.81,80.5,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:42,32.87,-117.25,68.87,17.92,80.77,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:45,32.87,-117.25,67.67,17.84,80.74,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:48,32.87,-117.25,63.27,17.8,80.83,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:51,32.87,-117.25,61.83,17.75,80.97,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:54,32.87,-117.25,61.47,17.67,81.15,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:39:57,32.87,-117.25,61.7,17.61,81.39,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:40:00,32.87,-117.25,61.63,17.62,81.65,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:40:03,32.87,-117.25,62.2,17.71,81.83,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:40:06,32.87,-117.25,63.0,17.56,81.8,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
2025-06-03 00:40:09,32.87,-117.25,62.67,17.41,81.97,61.0,61.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.35,29.77,96.0,0.0,0.0,29.72,1
